resource_id,X,Y,norm_X,norm_Y
Social Economic Networks_SEN10.pdf,431.3994589,104.3645706,28.02994563,1.203076086
Rational Herds_RHEMch10.pdf,438.9425474,232.0977936,29.09563584,3.590612964
Network Analysis_LNch8.pdf,444.1954411,210.9303589,29.83776651,3.194959979
Rational Herds_RHEMch11.pdf,438.7273198,214.5997009,29.0652284,3.263545812
Networks Crowd and Markets_NCMch1.pdf,468.3801286,306.4468994,33.25458771,4.980315877
Network Analysis_LNch15.pdf,441.9737012,268.6686096,29.52387832,4.274179619
Network Analysis_LNch6.pdf,443.8880944,104.2273712,29.79434447,1.200511612
Social Economic Networks_SEN11.pdf,442.9623737,152.3793335,29.66355831,2.10054829
Social Economic Networks_SEN9.pdf,440.6330738,163.4298706,29.33447401,2.307100385
Social Economic Networks_SEN12.pdf,442.455434,185.6910858,29.5919377,2.723197866
Social Economic Networks_SEN5.pdf,479.4540603,234.404129,34.81911669,3.633722038
Networks Crowd and Markets_NCMch18.pdf,515.7888447,263.1577759,39.95250786,4.171173381
Network Analysis_LNch1.pdf,443.2482646,450.307312,29.70394909,7.669295552
Networks Crowd and Markets_NCMch13.pdf,512.9485002,211.4923859,39.55122298,3.205465156
Network Analysis_LNch10.pdf,442.8128298,192.9876709,29.64243069,2.859582634
Networks Crowd and Markets_NCMch2.pdf,489.4020279,198.3183594,36.22456906,2.959221671
Network Analysis_LNch12.pdf,442.9052113,223.7564087,29.65548239,3.434699228
Rational Herds_RHEMch16.pdf,438.5189317,187.0410004,29.03578725,2.748429913
Networks Crowd and Markets_NCMch6.pdf,441.8021012,125.1775436,29.49963461,1.592103619
Networks Crowd and Markets_NCMch16.pdf,433.1064778,205.6982117,28.27111386,3.097162835
Social Economic Networks_SEN13.pdf,503.3443316,230.9492035,38.19434266,3.56914399
resources_Centrality_measure.txt,423.4021516,1301.268311,26.90008322,4.692835029
resources_An_introduction_to_Manifold_Learning.txt,446.4753594,612.6085815,30.15987418,0.7190339385
resources_Page_Rank_Eigenvector_Centrality.pdf,446.1808954,877.8389893,30.11827219,2.249503689
resources_Markov_Chain_Applications.txt,445.8815011,643.1947632,30.07597367,0.8955266196
resources_classroom_logs_3.pdf,445.3119268,578.8837891,29.99550401,0.5244304043
resources_classroom_logs_1_2.pdf,445.2534876,488.1845398,29.98724769,0.001064857443
resources_Tutorial_on_Betweennes_Centrality.txt,438.523232,1052.688721,29.03639481,3.258446167
resources_Power_Law_Distribution.pdf,444.8942038,945.7619629,29.93648795,2.641442371
resources_Contrast_between_Centrality_and_Vitality.txt,444.7022466,1355.174316,29.90936817,5.003891035
resources_Unsupervised_Learning_Exploratory_Anlysis_and_Randomness.pdf,439.8861109,1000.430359,29.22894282,2.956897628
resources_Exploratory_Data_Analysis.txt,432.5853928,689.730835,28.19749478,1.164055597
resources_A_tutorial_on_Visual_Analytic_Techniques_of_EDA.txt,431.3012351,597.9458008,28.01606853,0.6344247016
resources_Network_Science_Web_Science_Internet_Science.pdf,490.8826199,664.5158691,36.43374762,1.01855666
resources_Prisoners_Dilemma_Game_Network_Engineering.pdf,441.4512341,2220.670166,29.45006398,9.998096746
resources_Difference_between_stress_and_betweenness.txt,441.4512341,1144.064697,29.45006398,3.785716661
